speech,category,count,total_words,percent
trump-announcesprezrun,SklOth,5,6358,0.08
trump-nc-speech,SklPt,1,3602,0.03
trump-immigration-speech,SklPt,1,6885,0.01
trump-announcesprezrun,SklPt,0,6358,0.0
trump-inaugural,SklPt,0,1459,0.0
trump-rnc,SklPt,0,4455,0.0
trump-victory,SklPt,0,1759,0.0
trump-victory,SklTot,4,1759,0.23
trump-inaugural,SklTot,3,1459,0.21
trump-nc-speech,SklTot,7,3602,0.19
trump-immigration-speech,SklTot,12,6885,0.17
trump-rnc,SklTot,5,4455,0.11
trump-announcesprezrun,SklTot,5,6358,0.08
trump-inaugural,Sky,2,1459,0.14
trump-announcesprezrun,Sky,2,6358,0.03
trump-immigration-speech,Sky,1,6885,0.01
trump-nc-speech,Sky,0,3602,0.0
trump-rnc,Sky,0,4455,0.0
trump-victory,Sky,0,1759,0.0
trump-inaugural,SocRel,6,1459,0.41
trump-rnc,SocRel,15,4455,0.34
trump-nc-speech,SocRel,9,3602,0.25
trump-victory,SocRel,3,1759,0.17
trump-announcesprezrun,SocRel,8,6358,0.13
trump-immigration-speech,SocRel,9,6885,0.13
trump-inaugural,Social,2,1459,0.14
trump-rnc,Social,5,4455,0.11
trump-announcesprezrun,Social,6,6358,0.09
trump-immigration-speech,Social,5,6885,0.07
trump-nc-speech,Social,1,3602,0.03
trump-victory,Social,0,1759,0.0
trump-inaugural,Solve,3,1459,0.21
trump-immigration-speech,Solve,10,6885,0.15
trump-nc-speech,Solve,3,3602,0.08
trump-rnc,Solve,3,4455,0.07
trump-announcesprezrun,Solve,2,6358,0.03
trump-victory,Solve,0,1759,0.0
trump-inaugural,Space,12,1459,0.82
trump-victory,Space,12,1759,0.68
trump-rnc,Space,20,4455,0.45
trump-immigration-speech,Space,26,6885,0.38
trump-nc-speech,Space,12,3602,0.33
trump-announcesprezrun,Space,19,6358,0.3
trump-inaugural,Stay,1,1459,0.07
trump-nc-speech,Stay,1,3602,0.03
trump-rnc,Stay,1,4455,0.02
trump-immigration-speech,Stay,1,6885,0.01
trump-announcesprezrun,Stay,0,6358,0.0
trump-victory,Stay,0,1759,0.0
trump-inaugural,Strong,45,1459,3.08
trump-victory,Strong,38,1759,2.16
trump-rnc,Strong,87,4455,1.95
trump-nc-speech,Strong,57,3602,1.58
trump-immigration-speech,Strong,104,6885,1.51
trump-announcesprezrun,Strong,48,6358,0.75
trump-inaugural,Submit,4,1459,0.27
trump-nc-speech,Submit,8,3602,0.22
trump-rnc,Submit,8,4455,0.18
trump-victory,Submit,3,1759,0.17
trump-immigration-speech,Submit,7,6885,0.1
trump-announcesprezrun,Submit,3,6358,0.05
trump-victory,SureLw,4,1759,0.23
trump-inaugural,SureLw,3,1459,0.21
trump-immigration-speech,SureLw,6,6885,0.09
trump-rnc,SureLw,4,4455,0.09
trump-nc-speech,SureLw,3,3602,0.08
trump-announcesprezrun,SureLw,2,6358,0.03
trump-inaugural,TIME,5,1459,0.34
trump-nc-speech,TIME,9,3602,0.25
trump-victory,TIME,4,1759,0.23
trump-rnc,TIME,8,4455,0.18
trump-immigration-speech,TIME,11,6885,0.16
trump-announcesprezrun,TIME,7,6358,0.11
trump-announcesprezrun,Think,0,6358,0.0
trump-immigration-speech,Think,0,6885,0.0
trump-inaugural,Think,0,1459,0.0
trump-nc-speech,Think,0,3602,0.0
trump-rnc,Think,0,4455,0.0
trump-victory,Think,0,1759,0.0
trump-inaugural,Time@,11,1459,0.75
trump-victory,Time@,9,1759,0.51
trump-nc-speech,Time@,17,3602,0.47
trump-rnc,Time@,19,4455,0.43
trump-immigration-speech,Time@,24,6885,0.35
trump-announcesprezrun,Time@,16,6358,0.25
trump-inaugural,TimeSpc,17,1459,1.17
trump-victory,TimeSpc,15,1759,0.85
trump-immigration-speech,TimeSpc,51,6885,0.74
trump-rnc,TimeSpc,33,4455,0.74
trump-nc-speech,TimeSpc,24,3602,0.67
trump-announcesprezrun,TimeSpc,32,6358,0.5
trump-rnc,Tool,3,4455,0.07
trump-announcesprezrun,Tool,4,6358,0.06
trump-immigration-speech,Tool,2,6885,0.03
trump-nc-speech,Tool,1,3602,0.03
trump-inaugural,Tool,0,1459,0.0
trump-victory,Tool,0,1759,0.0
trump-inaugural,TranLw,7,1459,0.48
trump-rnc,TranLw,7,4455,0.16
trump-nc-speech,TranLw,5,3602,0.14
trump-immigration-speech,TranLw,7,6885,0.1
trump-announcesprezrun,TranLw,5,6358,0.08
trump-victory,TranLw,1,1759,0.06
trump-inaugural,Travel,2,1459,0.14
trump-nc-speech,Travel,4,3602,0.11
trump-rnc,Travel,4,4455,0.09
trump-immigration-speech,Travel,5,6885,0.07
trump-victory,Travel,1,1759,0.06
trump-announcesprezrun,Travel,0,6358,0.0
trump-inaugural,TrnGain,3,1459,0.21
trump-nc-speech,TrnGain,4,3602,0.11
trump-rnc,TrnGain,5,4455,0.11
trump-announcesprezrun,TrnGain,5,6358,0.08
trump-immigration-speech,TrnGain,5,6885,0.07
